,relationship,trend,surface_level,spatial_autocorrelation,algorithm,spatial_autocorrelation_val,bandwidth,Coordinates,No_coordinates,Add_coordinates_change,Geographical,Geographical_change,Multiscale,Multiscale_change
84,polynom2,random_con,small,high,LinearRegression,0.8674548296436001,5.0,0.3115055154742248,0.3046896506624859,-2.2369859944107673,0.08725920412762755,71.3612838710143,0.0967792958411861,68.236763004336
85,polynom2,random_con,small,low,LinearRegression,0.5745479624895665,5.0,0.4197392065260955,0.3256194346807572,-28.904838538772992,0.184245749637985,43.41684493782668,0.1951065009263445,40.08143244962323
86,polynom2,random_con,small,none,LinearRegression,0.2472028073949443,10.0,0.5535931579925141,0.5422317378271626,-2.0953071118409783,0.39491706999506293,27.168211957201315,0.40206209241013524,25.85050553822556
87,polynom3,random_con,small,high,LinearRegression,0.7277813513765695,5.0,0.6605579887007784,0.6864300033953367,3.7690681594023703,0.4375851885860427,36.252030589924026,0.4677373475127571,31.8594255497057
88,polynom3,random_con,small,low,LinearRegression,0.31212790205299923,5.0,0.5863335137456162,0.5590840937901598,-4.873939405202227,0.43520633940385395,22.157266815893475,0.44974820415707445,19.556251169993438
89,polynom3,random_con,small,none,LinearRegression,0.16011954281753935,10.0,0.6660078282969414,0.6484937782496465,-2.7007275373662294,0.5339995947451579,17.65540200146878,0.5453026165883863,15.912436652790113
90,linear,random_con,medium,high,LinearRegression,0.7722286381545833,40.0,0.0899554044416258,0.08995772369538937,0.0025781596824676982,0.089945368936157,0.013733961604244907,0.09103649372621726,-1.1991966742964384
91,linear,random_con,medium,low,LinearRegression,0.4615422326619351,40.0,0.06633888571797843,0.06632908775159353,-0.014771749042574788,0.066305582625818,0.03543713108729009,0.06713291561959474,-1.2118783707859662
92,linear,random_con,medium,none,LinearRegression,0.22390605206107136,40.0,0.0723362471702138,0.0722972510051763,-0.053938655336570135,0.07229120044547344,0.00836900382620045,0.07276268335515629,-0.6437759990994227
93,polynom2,random_con,medium,high,LinearRegression,0.8639787830158081,5.0,0.25207565111102004,0.25049702105761745,-0.6301991324038464,0.09604105204171405,61.659802724910094,0.10442389634932127,58.31331809518707
94,polynom2,random_con,medium,low,LinearRegression,0.24489698782544603,5.0,0.21039493629230477,0.20849179132852436,-0.9128152967814409,0.14006263263607255,32.8210325482919,0.14857814154478466,28.736694812762508
95,polynom2,random_con,medium,none,LinearRegression,0.06603022492460871,10.0,0.28936974703830276,0.28921297939862123,-0.05420491155255511,0.24216789466577526,16.266588322097363,0.24949653622326323,13.732593626310582
96,polynom3,random_con,medium,high,LinearRegression,0.8673330810777516,5.0,0.2733680561333838,0.26346794884298586,-3.7576135290360893,0.19303388046433093,26.733448485086974,0.19956992938343635,24.252672759687226
97,polynom3,random_con,medium,low,LinearRegression,0.23917932460656405,10.0,0.2885183890592347,0.2893842771984863,0.2992174100245557,0.25274572375064713,12.660865269715082,0.25697304397760484,11.20006709924011
98,polynom3,random_con,medium,none,LinearRegression,0.10911409890821942,10.0,0.4105729319728649,0.41012739695762623,-0.10863332187600054,0.3416841449650521,16.688290638541655,0.34991076712559754,14.682420701158422
99,linear,random_con,large,high,LinearRegression,0.8325543887390312,40.0,0.14808318133162834,0.14806799067517668,-0.01025924400162455,0.14804212156097982,0.017471105050387518,0.14871576095694547,-0.43748164530025746
100,linear,random_con,large,low,LinearRegression,0.8289127677540686,40.0,0.15269968593023778,0.15270679702982606,0.004656701421677544,0.15279201149861008,-0.055802669194461585,0.15341666367951884,-0.4648559615549575
101,linear,random_con,large,none,LinearRegression,0.041770167911074706,35.0,0.22820819318903093,0.22822437393338685,0.007089840614761653,0.22842368113112868,-0.08732949698002261,0.23040190873726726,-0.9541201784678726
102,polynom2,random_con,large,high,LinearRegression,0.7413297668337759,5.0,0.44974474058898756,0.40242259064944574,-11.759317453617955,0.23673172312854884,41.17335143971374,0.24365839021841562,39.45210932984902
103,polynom2,random_con,large,low,LinearRegression,0.8047571003144856,5.0,0.3414207141805842,0.3086048945448626,-10.633603100857833,0.19679831826228258,36.22968341039272,0.1999243751603115,35.21671927622391
104,polynom2,random_con,large,none,LinearRegression,0.031050893421698384,10.0,0.7062139178442998,0.706663192417119,0.06357690306218598,0.6767222349093726,4.236948779705689,0.6906677549168397,2.2635164349748176
105,polynom3,random_con,large,high,LinearRegression,0.6926469851108472,10.0,0.5963451314248011,0.5972065733773015,0.144245222826147,0.5165033001741053,13.513460300144715,0.5121373828406187,14.244516776766627
106,polynom3,random_con,large,low,LinearRegression,0.29146436648515256,5.0,0.7252064336097177,0.7260213682359558,0.11224664478101122,0.6101395062749401,15.961219191465212,0.6222721925540856,14.290099468277887
107,polynom3,random_con,large,none,LinearRegression,0.11499688191722726,10.0,0.617371000740012,0.6142684535499051,-0.5050800138240992,0.5367642177180584,12.617323156340479,0.5433800380259431,11.54029888956405
108,linear,random_dis,small,high,LinearRegression,0.8187964456604727,40.0,0.20627661246275195,0.2062711410128002,-0.0026525523274290156,0.2064389708898624,-0.08136372167146452,0.20755749458682637,-0.623622658850931
109,linear,random_dis,small,low,LinearRegression,0.37054324691274676,35.0,0.21085069818662663,0.21084169702704747,-0.004269155345495641,0.21090459948530982,-0.029833974564470976,0.21264815287547692,-0.8567830148880428
110,linear,random_dis,small,none,LinearRegression,0.2687411501946338,40.0,0.13794005763954073,0.13792721748252731,-0.009309371455306005,0.13798802823633913,-0.04408901660001699,0.13992839077288366,-1.4508907863742373
111,polynom2,random_dis,small,high,LinearRegression,0.8458605960809064,5.0,0.40835831941220607,0.34756162737971075,-17.49234876440344,0.12971509993354158,62.67853246301326,0.14376049929101567,58.63740759449332
112,polynom2,random_dis,small,low,LinearRegression,0.5401285563630532,5.0,0.3911492514292544,0.3828955426179723,-2.1556032631899997,0.19577117388461734,48.87086630832243,0.2070491767947472,45.92541470211706
113,polynom2,random_dis,small,none,LinearRegression,0.1666387943219675,10.0,0.4522139530692819,0.45127789507438887,-0.20742385237786723,0.34573191325268265,23.388245463320988,0.35454892546812333,21.43445771708377
114,polynom3,random_dis,small,high,LinearRegression,0.7010063833700844,10.0,0.4715236123686027,0.42859528244503625,-10.016052831629482,0.37116010398848354,13.400795764456017,0.3729975019887176,12.972093425561349
115,polynom3,random_dis,small,low,LinearRegression,0.315959727913177,5.0,0.5724845767799641,0.5732185204715904,0.128039075049852,0.39278582195865813,31.477122959057425,0.4134154730573178,27.878207299164316
116,polynom3,random_dis,small,none,LinearRegression,0.11401519199442493,10.0,0.5851371071885553,0.5862984254403811,0.19807630405174115,0.5614739933380716,4.234094963441766,0.5661046503994398,3.4442826664208352
117,linear,random_dis,medium,high,LinearRegression,0.9226299096486184,35.0,0.06526015832126796,0.06525903381458101,-0.0017231433277767473,0.06533403348954238,-0.11492611915534265,0.0655648440846349,-0.4686098646859794
118,linear,random_dis,medium,low,LinearRegression,0.49279448482689275,40.0,0.10451328511190008,0.1044369777753636,-0.07306543923609939,0.10440012126456275,0.03529067154752162,0.10511113877796943,-0.6455194481555149
119,linear,random_dis,medium,none,LinearRegression,0.0783199956745356,40.0,0.09745500367178607,0.09744446901857139,-0.010810929877072384,0.09750766880538565,-0.06485723351032015,0.09888137549692726,-1.4745900848225861
120,polynom2,random_dis,medium,high,LinearRegression,0.9081299679814535,5.0,0.16814204051440207,0.1644144340280834,-2.267201482858839,0.08082356755088102,50.84156203884407,0.08629891291448613,47.51135237935038
121,polynom2,random_dis,medium,low,LinearRegression,0.4293787254399936,5.0,0.19208375437041667,0.19283548631448222,0.3898307092915487,0.11122191622731771,42.32290002581087,0.11574461035425514,39.977535999004274
122,polynom2,random_dis,medium,none,LinearRegression,0.19731919024695396,10.0,0.22270598197047203,0.22366920828931283,0.43064770792896956,0.2104148760610015,5.925863613362031,0.212265372148413,5.0985275211191015
123,polynom3,random_dis,medium,high,LinearRegression,0.7058193685917198,5.0,0.3493605100769493,0.34355220546868315,-1.6906614237397488,0.2738068934005615,20.301226700894905,0.27310525283213266,20.505457835860742
124,polynom3,random_dis,medium,low,LinearRegression,0.398488002123799,10.0,0.2537698879726753,0.25502925386685715,0.49381232744355197,0.22943641466014,10.035256276943969,0.23095704602202166,9.438998655974912
125,polynom3,random_dis,medium,none,LinearRegression,0.23946328256356103,10.0,0.3881447617351899,0.38099234378852087,-1.8773127763006092,0.3384176885056669,11.17467476104614,0.3423142272770249,10.151940620876422
126,linear,random_dis,large,high,LinearRegression,0.8823493118318723,40.0,0.15434827904256046,0.15436004184797358,0.007620369411864084,0.15458767587682337,-0.1474695304073451,0.15582576241606116,-0.9495466252407098
127,linear,random_dis,large,low,LinearRegression,0.4020236881507064,40.0,0.1457935063220795,0.14574750489619437,-0.03156241056605823,0.1459023333494707,-0.10623060297780208,0.14751064627416202,-1.2097231985023782
128,linear,random_dis,large,none,LinearRegression,0.09765853241571996,25.0,0.19910723149682005,0.19904003350253718,-0.03376104449962964,0.19931389403929947,-0.13759068059983884,0.2009964508674576,-0.9829265653210798
129,polynom2,random_dis,large,high,LinearRegression,0.77998233565278,5.0,0.6360047083896094,0.6021664517690595,-5.6194191026649,0.30058847628277435,50.082161601713594,0.3159422869454444,47.53239971817405
130,polynom2,random_dis,large,low,LinearRegression,0.5096222652019547,5.0,0.45264336411099776,0.4429777297442688,-2.1819684642631882,0.24106865803720545,45.57995992792358,0.25377936308472043,42.710582035077174
131,polynom2,random_dis,large,none,LinearRegression,0.2797926066921807,10.0,0.556964483674187,0.5560069496950997,-0.1722161889545562,0.4895950096748987,11.944444229810365,0.49530303066216663,10.917834582143541
132,polynom3,random_dis,large,high,LinearRegression,0.632974122036046,5.0,0.6528226017318604,0.6541623069699278,0.20479707005329884,0.443195058698016,32.249985366645426,0.46754293404475766,28.52799235553466
133,polynom3,random_dis,large,low,LinearRegression,0.460630874982168,10.0,0.5519339244711434,0.5502689465932338,-0.3025752930848958,0.4941943074461487,10.190405890473816,0.5028904704830623,8.610058118579285
134,polynom3,random_dis,large,none,LinearRegression,0.2672494859083723,10.0,0.600075646501423,0.5729488142575652,-4.734599595778748,0.5281100038854094,7.825971405536198,0.5364434390488502,6.371489791111472
