,relationship,trend,surface_level,spatial_autocorrelation,algorithm,spatial_autocorrelation_val,bandwidth,Coordinates,No_coordinates,Add_coordinates_change,Geographical,Geographical_change,Multiscale,Multiscale_change
105,polynom3,random_con,large,high,SupportVectorMachines,0.6926469851108472,40.0,0.48937934389792637,0.48837511675228945,-0.2056261900309457,0.49439117855323267,-1.2318526465783568,0.5001159557504029,-2.4040616721405508
106,polynom3,random_con,large,low,SupportVectorMachines,0.29146436648515256,40.0,0.6003633210623635,0.5969685534511476,-0.5686677449909644,0.5753456065852082,3.6221249412443224,0.6061326389988827,-1.535103565297766
107,polynom3,random_con,large,none,SupportVectorMachines,0.11499688191722726,40.0,0.44377979212601093,0.4365699434091521,-1.6514762011689301,0.4372554370708448,-0.15701806137630492,0.4635595478910378,-6.182194832545107
108,linear,random_dis,small,high,SupportVectorMachines,0.8187964456604727,40.0,0.20343750647190045,0.20343941453561273,0.000937902675661873,0.20672832266554797,-1.616652376552874,0.2082965393214331,-2.387504307809594
109,linear,random_dis,small,low,SupportVectorMachines,0.37054324691274676,35.0,0.20780036532807503,0.20779228994076712,-0.003886278605527761,0.21096639154587513,-1.5275357935623153,0.21442412079819317,-3.191567338382242
110,linear,random_dis,small,none,SupportVectorMachines,0.2687411501946338,40.0,0.14004982321849302,0.1400554167156717,0.003993774257257555,0.13808388251945589,1.4076815038280561,0.14042079458753565,-0.2608809287295903
111,polynom2,random_dis,small,high,SupportVectorMachines,0.8458605960809064,40.0,0.12113770523739233,0.11875621230116251,-2.005362826990822,0.11711941993971785,1.3782793588042395,0.11831718112569417,0.3696911234883188
112,polynom2,random_dis,small,low,SupportVectorMachines,0.5401285563630532,40.0,0.16892447367874808,0.16905170730915037,0.07526314429325107,0.16681430738288638,1.3235003431064893,0.17058622232936094,-0.9077193272022696
113,polynom2,random_dis,small,none,SupportVectorMachines,0.1666387943219675,40.0,0.1540882675357538,0.1495376640754046,-3.043115250251964,0.15707604750141654,-5.041126911151085,0.1624523163371234,-8.636387589421318
114,polynom3,random_dis,small,high,SupportVectorMachines,0.7010063833700844,40.0,0.35769044837046027,0.35698191626288095,-0.19847843134372,0.36087970049601875,-1.091871620260865,0.3669525584142566,-2.7930384417661362
115,polynom3,random_dis,small,low,SupportVectorMachines,0.315959727913177,40.0,0.34147031229861974,0.33610324471240033,-1.5968508696820074,0.34202358954602613,-1.7614661348157385,0.36568816511321184,-8.802331089105369
116,polynom3,random_dis,small,none,SupportVectorMachines,0.11401519199442493,40.0,0.33338475340611284,0.32709815996680164,-1.9219287078683824,0.31633954646244145,3.2891085371596476,0.34204611361711196,-4.569867850014027
