id,relationship,coeficients,trend,surface_level,spatial_autocorrelation,dataset_path,target_path,trend_path
59,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",nonlinear,small,none,dataset-TR_nonlinear_rel-polynom2-lvl_small-sac-none.csv,target-TR_nonlinear_rel-polynom2-lvl_small-sac-none.csv,trend_nonlinear.csv
60,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",nonlinear,small,high,dataset-TR_nonlinear_rel-polynom3-lvl_small-sac-high.csv,target-TR_nonlinear_rel-polynom3-lvl_small-sac-high.csv,trend_nonlinear.csv
61,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",nonlinear,small,low,dataset-TR_nonlinear_rel-polynom3-lvl_small-sac-low.csv,target-TR_nonlinear_rel-polynom3-lvl_small-sac-low.csv,trend_nonlinear.csv
62,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",nonlinear,small,none,dataset-TR_nonlinear_rel-polynom3-lvl_small-sac-none.csv,target-TR_nonlinear_rel-polynom3-lvl_small-sac-none.csv,trend_nonlinear.csv
63,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",nonlinear,medium,high,dataset-TR_nonlinear_rel-linear-lvl_medium-sac-high.csv,target-TR_nonlinear_rel-linear-lvl_medium-sac-high.csv,trend_nonlinear.csv
64,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",nonlinear,medium,low,dataset-TR_nonlinear_rel-linear-lvl_medium-sac-low.csv,target-TR_nonlinear_rel-linear-lvl_medium-sac-low.csv,trend_nonlinear.csv
65,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",nonlinear,medium,none,dataset-TR_nonlinear_rel-linear-lvl_medium-sac-none.csv,target-TR_nonlinear_rel-linear-lvl_medium-sac-none.csv,trend_nonlinear.csv
66,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",nonlinear,medium,high,dataset-TR_nonlinear_rel-polynom2-lvl_medium-sac-high.csv,target-TR_nonlinear_rel-polynom2-lvl_medium-sac-high.csv,trend_nonlinear.csv
67,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",nonlinear,medium,low,dataset-TR_nonlinear_rel-polynom2-lvl_medium-sac-low.csv,target-TR_nonlinear_rel-polynom2-lvl_medium-sac-low.csv,trend_nonlinear.csv
68,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",nonlinear,medium,none,dataset-TR_nonlinear_rel-polynom2-lvl_medium-sac-none.csv,target-TR_nonlinear_rel-polynom2-lvl_medium-sac-none.csv,trend_nonlinear.csv
69,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",nonlinear,medium,high,dataset-TR_nonlinear_rel-polynom3-lvl_medium-sac-high.csv,target-TR_nonlinear_rel-polynom3-lvl_medium-sac-high.csv,trend_nonlinear.csv
70,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",nonlinear,medium,low,dataset-TR_nonlinear_rel-polynom3-lvl_medium-sac-low.csv,target-TR_nonlinear_rel-polynom3-lvl_medium-sac-low.csv,trend_nonlinear.csv
71,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",nonlinear,medium,none,dataset-TR_nonlinear_rel-polynom3-lvl_medium-sac-none.csv,target-TR_nonlinear_rel-polynom3-lvl_medium-sac-none.csv,trend_nonlinear.csv
72,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",nonlinear,large,high,dataset-TR_nonlinear_rel-linear-lvl_large-sac-high.csv,target-TR_nonlinear_rel-linear-lvl_large-sac-high.csv,trend_nonlinear.csv
73,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",nonlinear,large,low,dataset-TR_nonlinear_rel-linear-lvl_large-sac-low.csv,target-TR_nonlinear_rel-linear-lvl_large-sac-low.csv,trend_nonlinear.csv
74,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",nonlinear,large,none,dataset-TR_nonlinear_rel-linear-lvl_large-sac-none.csv,target-TR_nonlinear_rel-linear-lvl_large-sac-none.csv,trend_nonlinear.csv
75,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",nonlinear,large,high,dataset-TR_nonlinear_rel-polynom2-lvl_large-sac-high.csv,target-TR_nonlinear_rel-polynom2-lvl_large-sac-high.csv,trend_nonlinear.csv
76,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",nonlinear,large,low,dataset-TR_nonlinear_rel-polynom2-lvl_large-sac-low.csv,target-TR_nonlinear_rel-polynom2-lvl_large-sac-low.csv,trend_nonlinear.csv
77,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",nonlinear,large,none,dataset-TR_nonlinear_rel-polynom2-lvl_large-sac-none.csv,target-TR_nonlinear_rel-polynom2-lvl_large-sac-none.csv,trend_nonlinear.csv
78,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",nonlinear,large,high,dataset-TR_nonlinear_rel-polynom3-lvl_large-sac-high.csv,target-TR_nonlinear_rel-polynom3-lvl_large-sac-high.csv,trend_nonlinear.csv
79,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",nonlinear,large,low,dataset-TR_nonlinear_rel-polynom3-lvl_large-sac-low.csv,target-TR_nonlinear_rel-polynom3-lvl_large-sac-low.csv,trend_nonlinear.csv
